Admission No,Student Name,Mobile No,Course,Subject,Admission Date,Father Name,Mother Name,Father Occupation,DOB,Gender,Category,Subcast,Permanent Address,Present Address,District,State,Domicile,Email,Aadhaar No,Subject 4,Subject 5,Subject 6,Last Exam,Last Exam Year,Last Subject,Last Roll No,Last Enroll No,Board,Total Marks,Obtain Marks,Division,Percentage,Remark
819/37026,WARHI SHANKAR,7682999411,M.Sc. (Zoology - Final),ZOOLOGY,15-03-2026,BAKHSHI PATLA,ABHA TANK,CLERK,04-09-2001,Female,OBC,,"H.NO. 49, CHOUDHURY PATH, KAKINADA-240178","019, BALAN MARG, HAPUR-444245",RAJNANDGAON,C.G.,NO,azad07@example.org,037858014456,,,,GRADUATION,2022,SCIENCE,06446139,251560479,HEMCHAND YADAV UNIVERSITY,500,317,FIRST,63.4,
840/24975,DOMINIC TELLA,7307723450,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,13-03-2026,QASIM PILLAI,DALAJA WARRIOR,ENGINEER,16-02-2004,Male,GEN,,"31/412, BASAK NAGAR, MALDA 128022","75, KANNAN ZILA, BELLARY 319461",JANJGIR-CHAMPA,C.G.,NO,jagdishlalla@example.net,905917572057,,,,12TH,2020,ARTS,34638289,146942213,HEMCHAND YADAV UNIVERSITY,500,384,FIRST,76.8,
875/90580,SACHI NATH,8294473653,B.Com.,COMMERCE,07-01-2026,NAKSH WALLA,VRINDA KALE,ACCOUNTANT,20-04-2005,Female,SC,,"H.NO. 054, BARAD MARG, BHALSWA JAHANGIR PUR-771214","72/312, PANDYA MARG, MIRA-BHAYANDAR 635225",JANJGIR-CHAMPA,C.G.,YES,neelima64@example.net,944958135293,,,,12TH,2022,COMMERCE,38915014,939995748,HEMCHAND YADAV UNIVERSITY,500,495,FIRST,99.0,
353/82751,TANVI SETH,5779263862,M.Com. (Final),COMMERCE,10-03-2026,REHAAN AGARWAL,URVI MITTAL,LABOUR,06-12-2004,Female,ST,,"27/250, SAINI CIRCLE, BHAGALPUR 520988","65, DHAWAN NAGAR, KHORA  551812",BASTAR,C.G.,NO,rushil63@example.org,106562216893,,,,GRADUATION,2022,COMMERCE,04754547,419368565,CBSE,500,382,FIRST,76.4,
727/33885,OESHI HORA,7247240645,B.Sc. Biotechnology,-,14-03-2026,HRITIK MEMON,DAYITA BALASUBRAMANIAN,DOCTOR,21-07-2003,Female,OBC,,"95, GHOSH ZILA, BULANDSHAHR-678007","H.NO. 58, LATA ROAD, NAVI MUMBAI-719671",JASHPUR,C.G.,YES,manan52@example.com,687991212471,,,,12TH,2024,SCIENCE,98226560,199364821,HEMCHAND YADAV UNIVERSITY,500,250,SECOND,50.0,
474/49016,SAUMYA SHA,5761224519,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,14-02-2026,MAANAS DHAR,SUHANI PALLA,PRIVATE JOB,04-08-2007,Female,GEN,,"97/051, DASS PATH, MUNGER-028913","H.NO. 77, DADA GANJ, KARAWAL NAGAR-837614",RAJNANDGAON,C.G.,NO,yashawinikapoor@example.org,272277339289,,,,12TH,2025,ARTS,74812268,566681358,CBSE,500,223,THIRD,44.6,
463/82760,UBIKA KADE,3971845521,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,15-03-2026,TANAY LOKE,IDIKA BARAD,ENGINEER,18-06-2003,Female,ST,,"32/14, PARSA, RANCHI-118033","H.NO. 85, KAUR MARG, BAHRAICH 045662",KANKER,C.G.,YES,cdass@example.net,291677590695,,,,12TH,2023,ARTS,29061143,720817348,HEMCHAND YADAV UNIVERSITY,500,468,FIRST,93.6,
301/23198,ADWETA SACHDEV,0721965346,M.Sc. (Chemistry - Previous),CHEMISTRY,08-01-2026,UPKAAR MISTRY,DIVYA SANE,BUSINESS,28-04-2000,Female,GEN,,"189, SAINI ROAD, FARIDABAD 432278","192, GERA PATH, CHITTOOR-380697",KORBA,C.G.,NO,rajagopalpanini@example.org,522470917552,,,,GRADUATION,2021,SCIENCE,09649318,801160393,HEMCHAND YADAV UNIVERSITY,500,437,FIRST,87.4,
797/28643,FAQID MANDER,3938105354,M.Sc. (Physics - Previous),PHYSICS,01-03-2026,HARSH PRASAD,JANAKI SURESH,PRIVATE JOB,16-09-2000,Male,OBC,,"H.NO. 36, MISTRY ZILA, WARANGAL 710039","H.NO. 658, SRINIVASAN GANJ, SIRSA-386455",KONDAGAON,C.G.,NO,narayanmohini@example.net,789171529629,,,,GRADUATION,2025,SCIENCE,23968296,834170095,STATE BOARD,500,437,FIRST,87.4,
904/26253,GIRIK MAHARAJ,7856538843,BAJMC (Bachelor of Arts in Journalism & Mass Communication),COMMERCE,13-03-2026,FIYAZ SHA,GEETIKA IYENGAR,FARMER,14-05-2006,Male,GEN,,"89/674, KUMER GANJ, NASHIK-019449","92/857, SATHE STREET, SALEM-906852",DURG,C.G.,YES,gopalaarav@example.org,487652809331,,,,12TH,2024,ARTS,75864360,492770226,HEMCHAND YADAV UNIVERSITY,500,267,SECOND,53.4,
568/23741,AVNI SHANKAR,4420688017,BBA (Bachelor of Business Administration),MANAGEMENT,28-02-2026,NITESH SACHDEVA,BHAVNA SUBRAMANIAN,ARMY PERSONNEL,18-01-2007,Female,ST,,"222, BUMB PATH, RAMGARH-985872","45, KAPOOR GANJ, PANIHATI 993272",KOREA,C.G.,YES,gkumer@example.net,536661671328,,,,12TH,2020,ARTS,85883939,731673465,STATE BOARD,500,324,FIRST,64.8,
272/50484,VEDIKA DOSHI,1943701591,B.A.,ARTS,12-03-2026,AYUSH DANI,ZAITRA SACHDEVA,DRIVER,28-03-2008,Female,GEN,,"58/928, BHARDWAJ PATH, AGARTALA-808712","86/256, HANDA NAGAR, DHANBAD-400821",KONDAGAON,C.G.,NO,avi17@example.com,657042946608,,,,12TH,2025,ARTS,20272106,157978189,STATE BOARD,500,280,SECOND,56.0,
348/53595,RAJATA AGARWAL,9400525087,M.A. (Final),ARTS,02-03-2026,JACK SETHI,GEETIKA SEHGAL,ACCOUNTANT,19-04-2008,Female,SC,,"31, GUPTA NAGAR, GUNTUR-182546","H.NO. 44, BAKSHI ZILA, MADHYAMGRAM 376742",JANJGIR-CHAMPA,C.G.,YES,vasana14@example.net,879702656861,,,,GRADUATION,2024,ARTS,71800344,423344179,HEMCHAND YADAV UNIVERSITY,500,226,SECOND,45.2,
379/38758,BHAVINI SARIN,9263188527,B.Sc. IT (Information Technology),COMPUTER,18-03-2026,MOHAMMED SARIN,LAVANYA SAMPATH,ELECTRICIAN,19-09-2004,Female,SC,,"H.NO. 928, REGE NAGAR, DHANBAD 359386","89/88, PADMANABHAN MARG, YAMUNANAGAR-440241",NARAYANPUR,C.G.,NO,charles06@example.org,134226744021,,,,12TH,2020,SCIENCE,56817784,792789053,CBSE,500,231,SECOND,46.2,
353/70936,REYANSH BALAKRISHNAN,3554976961,M.Sc. (Chemistry - Previous),CHEMISTRY,13-01-2026,ADVAY TIWARI,SUDIKSHA SAXENA,STUDENT,29-10-2006,Male,GEN,,"20/07, PRAKASH PATH, VADODARA 062709","85/936, BEHL ZILA, FIROZABAD 553474",DURG,C.G.,YES,ebhagat@example.org,192000400478,,,,GRADUATION,2023,SCIENCE,57887133,504468327,HEMCHAND YADAV UNIVERSITY,500,203,THIRD,40.6,
688/39429,LEELA NARAYANAN,4428128487,B.A.,ARTS,09-01-2026,JONATHAN LAD,RIDHI BAINS,DOCTOR,19-12-2007,Female,GEN,,"43/001, THAKUR CHOWK, BHIWANDI-603513","34/294, NAYAR PATH, BARANAGAR-434478",JANJGIR-CHAMPA,C.G.,YES,neeldeo@example.com,343808535771,,,,12TH,2024,ARTS,37950507,081777799,STATE BOARD,500,273,SECOND,54.6,
640/10976,RANVEER MURTHY,9433899473,BAJMC (Bachelor of Arts in Journalism & Mass Communication),COMMERCE,13-01-2026,MATTHEW MANGAL,VEDIKA SESHADRI,CONSULTANT,19-08-2001,Male,GEN,,"33, YOHANNAN, MADHYAMGRAM-045414","352, DHAR NAGAR, VADODARA-374495",DHAMTARI,C.G.,YES,lbhat@example.net,736014175052,,,,12TH,2024,ARTS,93277806,724400571,HEMCHAND YADAV UNIVERSITY,500,415,FIRST,83.0,
525/73685,VANSHA BALA,0014603834,M.A. (Previous),ARTS,14-01-2026,FINN MADAN,LIPIKA CHATTERJEE,FREELANCER,02-06-2004,Female,GEN,,"974, KALE, JALNA-349163","H.NO. 777, CHAWLA, AVADI-600320",DHAMTARI,C.G.,NO,aashi97@example.org,969001785918,,,,GRADUATION,2022,ARTS,63648641,520582783,STATE BOARD,500,203,THIRD,40.6,
688/81350,ZAYYAN GANDHI,4122189285,M.Com. (Final),COMMERCE,10-02-2026,ISAAC MUKHERJEE,ADVIKA CHOUDHARY,PLUMBER,18-06-2006,Male,SC,,"124, DASH MARG, PUNE-520232","92/578, NADKARNI CIRCLE, KAMARHATI 515056",KORBA,C.G.,NO,akshay68@example.com,132766777223,,,,GRADUATION,2022,COMMERCE,90392610,600789612,STATE BOARD,500,246,SECOND,49.2,
295/44822,ZAYAN MANN,9440924844,M.Sc. (Mathematics - Final),MATHEMATICS,24-02-2026,CHARAN SAMI,RIDHI MANNE,ACCOUNTANT,24-11-2005,Male,GEN,,"H.NO. 162, KEER MARG, ORAI 818812","H.NO. 86, AHUJA GANJ, PURNIA-771723",BALRAMPUR,C.G.,NO,benjamin74@example.net,756521278384,,,,GRADUATION,2023,SCIENCE,25822287,270739598,STATE BOARD,500,496,FIRST,99.2,
851/12740,YAHVI MITTAL,9045782099,BBA (Bachelor of Business Administration),MANAGEMENT,21-02-2026,FREDERICK PILLAI,AMRUTA VARTY,BUSINESS,30-05-2002,Female,ST,,"30/879, DESHPANDE PATH, JABALPUR-252145","403, GOLLA PATH, BILASPUR-336968",BEMETARA,C.G.,YES,shivaninagarajan@example.com,410856498931,,,,12TH,2023,ARTS,29094678,394798512,CBSE,500,372,FIRST,74.4,
881/24471,FARIS RAVAL,3644183088,B.Sc. Biotechnology,-,14-02-2026,EKAPAD AGGARWAL,OMYA KEER,SHOPKEEPER,07-02-2008,Male,SC,,"H.NO. 135, TANEJA ZILA, FARIDABAD-684415","65/43, DYAL CHOWK, BALLY-958831",KOREA,C.G.,NO,dewanbhanumati@example.net,175946050984,,,,12TH,2025,SCIENCE,19279552,288496626,STATE BOARD,500,266,SECOND,53.2,
432/33267,LOHIT ISSAC,9741294705,M.A. (Final),ARTS,14-02-2026,WILLIAM PURI,URMI TANEJA,BUSINESS,29-08-2008,Male,SC,,"H.NO. 38, WALIA, ROHTAK-557954","23/133, BASAK ZILA, RAJPUR SONARPUR-173462",JANJGIR-CHAMPA,C.G.,YES,samesh46@example.org,061165001464,,,,GRADUATION,2023,ARTS,72794040,015290113,HEMCHAND YADAV UNIVERSITY,500,488,FIRST,97.6,
333/55201,AADI DHAR,9801953362,M.Sc. (Botany - Final),BOTANY,09-01-2026,ISAIAH TIWARI,BRINDA BAL,DOCTOR,10-07-2007,Male,OBC,,"049, CHANDA MARG, BATHINDA-594285","H.NO. 60, DUA STREET, DHANBAD 852226",BALODA BAZAR,C.G.,NO,fkari@example.net,352227949513,,,,GRADUATION,2023,SCIENCE,06749939,356811473,STATE BOARD,500,472,FIRST,94.4,
453/48681,GIRIK GARG,9316444746,M.Sc. (Chemistry - Final),CHEMISTRY,13-02-2026,DAKSHESH CHATTERJEE,OMISHA VISWANATHAN,CONSULTANT,01-04-2001,Male,SC,,"076, AGARWAL, INDORE 310278","10, DUTT CIRCLE, KAMARHATI 356913",BALRAMPUR,C.G.,YES,rajata65@example.org,635016228146,,,,GRADUATION,2020,SCIENCE,00004092,764270738,HEMCHAND YADAV UNIVERSITY,500,483,FIRST,96.6,
609/32258,ANAY GOPAL,7194791579,PGDCA (Post Graduate Diploma in Computer Applications),COMPUTER,11-01-2026,ANMOL BHATIA,TRIVENI RANA,CARPENTER,19-10-2006,Male,OBC,,"10/84, BUTALA MARG, MEHSANA-343366","31/72, SWAMINATHAN STREET, BHOPAL-554475",BEMETARA,C.G.,NO,gunbir15@example.net,057110687026,,,,GRADUATION,2020,ARTS,97612925,065112694,HEMCHAND YADAV UNIVERSITY,500,477,FIRST,95.4,
892/37629,DAMYANTI BANSAL,5598124280,BAJMC (Bachelor of Arts in Journalism & Mass Communication),COMMERCE,18-03-2026,CHANDRAN GARG,ISHITA RANGANATHAN,STUDENT,03-02-2009,Female,SC,,"H.NO. 643, DEO, MALEGAON-986034","332, SAVANT CHOWK, NEW DELHI-750028",KOREA,C.G.,YES,magarhemal@example.com,433335057081,,,,12TH,2021,ARTS,50869008,472476531,CBSE,500,362,FIRST,72.4,
110/16445,JAGVI GANDHI,5601631786,B.Sc. (Mathematics),MATHEMATICS,08-01-2026,LUCKY NORI,CHAAYA SANKAR,STUDENT,07-06-2002,Female,OBC,,"13/499, MALHOTRA ZILA, KATNI-735319","H.NO. 99, BARAD, ROHTAK 211259",SURGUJA,C.G.,YES,sawhneyjanaki@example.org,359911646533,,,,12TH,2023,SCIENCE,01214294,264185127,CBSE,500,202,THIRD,40.4,
688/28723,YASHODA OAK,5323899477,M.Sc. (Mathematics - Previous),MATHEMATICS,23-02-2026,MADHAV PUROHIT,VRITTI SRIVASTAVA,DOCTOR,22-02-2003,Female,GEN,,"H.NO. 500, PATHAK ROAD, RAURKELA INDUSTRIAL TOWNSHIP-308132","43/03, DALAL STREET, JALANDHAR 458835",RAIPUR,C.G.,YES,nsrivastava@example.org,309287327343,,,,GRADUATION,2021,SCIENCE,26142356,056491822,CBSE,500,281,SECOND,56.2,
274/32348,MITALI PALL,3306144822,B.Sc. Biotechnology,-,30-01-2026,AGASTYA BASU,UPMA MANI,ACCOUNTANT,10-05-2001,Female,SC,,"821, NAGY MARG, GWALIOR-683426","H.NO. 60, DASS PATH, RAMPUR-524372",BASTAR,C.G.,YES,ahluwaliadiya@example.net,803681193056,,,,12TH,2021,SCIENCE,83010014,660595534,CBSE,500,249,SECOND,49.8,
317/37407,GIRINDRA BALAN,1654242336,M.Sc. (Physics - Previous),PHYSICS,30-01-2026,SAMUEL PANDIT,SNEHA MANDAL,PRIVATE JOB,22-06-2004,Male,SC,,"62, THAKKAR PATH, BHAVNAGAR 304127","29, SAXENA CHOWK, KAVALI 147593",BALODA BAZAR,C.G.,NO,ladlikorpal@example.org,827423027217,,,,GRADUATION,2023,SCIENCE,05231682,051276545,CBSE,500,238,SECOND,47.6,
324/44044,ONVEER BAKSHI,9355759229,M.Sc. (Chemistry - Previous),CHEMISTRY,05-02-2026,TEJAS MANGAL,AVNI KADAKIA,DRIVER,10-12-2007,Male,GEN,,"054, VARTY, AMRAVATI 769347","46/651, DE MARG, ALAPPUZHA 004998",KONDAGAON,C.G.,YES,gabanitara@example.org,952418622199,,,,GRADUATION,2022,SCIENCE,70195828,998509795,STATE BOARD,500,440,FIRST,88.0,
233/97070,CHARAN TARA,4864763897,B.Sc. Micro Biology,BIOLOGY,02-02-2026,BAKHSHI BAJWA,SARA SANKAR,POLICE,20-11-2006,Male,ST,,"94/468, KAR MARG, ALWAR 784317","H.NO. 25, ANNE NAGAR, KAKINADA 442285",SUKMA,C.G.,YES,chaitalybuch@example.net,363392688379,,,,12TH,2020,SCIENCE,40799708,459444107,CBSE,500,357,FIRST,71.4,
336/87403,URVASHI TIWARI,1590024361,M.Sc. (Botany - Final),BOTANY,21-01-2026,JACK SURESH,AVNI KULKARNI,SHOPKEEPER,08-05-2006,Female,ST,,"064, BAIL MARG, AMROHA-017260","574, PALAN GANJ, PUNE 476442",DHAMTARI,C.G.,YES,wgandhi@example.net,568846925654,,,,GRADUATION,2022,SCIENCE,18626361,841732367,HEMCHAND YADAV UNIVERSITY,500,290,SECOND,58.0,
473/25694,RONITH SAMPATH,8232333679,M.Com. (Final),COMMERCE,24-01-2026,ROBERT SUNDER,SUHANI BADAL,ACCOUNTANT,18-06-2008,Male,GEN,,"H.NO. 980, MANDAL CIRCLE, NAIHATI-990256","H.NO. 38, DEVI, AKOLA-757422",RAIGARH,C.G.,NO,pcherian@example.net,712590644501,,,,GRADUATION,2023,COMMERCE,28690398,443303525,CBSE,500,396,FIRST,79.2,
401/54257,CHARVI JHAVERI,9593894310,BAJMC (Bachelor of Arts in Journalism & Mass Communication),COMMERCE,16-01-2026,THEODORE LAL,JHALAK KAPADIA,PLUMBER,25-11-2008,Female,ST,,"H.NO. 157, WARRIOR CHOWK, MAHESHTALA 284477","H.NO. 287, UPPAL NAGAR, ICHALKARANJI 821312",DHAMTARI,C.G.,NO,ushroff@example.net,888056106337,,,,12TH,2025,ARTS,54846167,740370287,HEMCHAND YADAV UNIVERSITY,500,338,FIRST,67.6,
818/56922,DAMINI KUMER,3805966905,M.Sc. (Mathematics - Previous),MATHEMATICS,06-02-2026,MANAN SAHOTA,YASHICA PILLAY,BUSINESS,23-06-2003,Female,GEN,,"01/15, ROUT GANJ, CHANDIGARH 692340","08/277, RAVAL MARG, TUMKUR 584393",DHAMTARI,C.G.,NO,deshpandemanbir@example.net,340333876914,,,,GRADUATION,2024,SCIENCE,71864007,546432890,STATE BOARD,500,304,FIRST,60.8,
162/42018,ISHANVI BUMB,6592782294,M.Sc. (Botany - Previous),BOTANY,06-02-2026,YASH KORPAL,HEMA KATA,ACCOUNTANT,29-05-2006,Female,ST,,"92/67, GOPAL NAGAR, GWALIOR 788196","H.NO. 779, DUGAL CIRCLE, JAMSHEDPUR 647521",NARAYANPUR,C.G.,NO,karinakul@example.com,418235492687,,,,GRADUATION,2021,SCIENCE,54620533,312864821,CBSE,500,386,FIRST,77.2,
675/39374,BARKHA RAM,1774383942,M.Sc. (Biotechnology - Previous),-,17-02-2026,KRISHNA MANE,ZILMIL BADAL,PRIVATE JOB,27-07-2007,Female,ST,,"279, BAIL CIRCLE, RAICHUR 375213","79/001, DUA CIRCLE, SECUNDERABAD 993820",JASHPUR,C.G.,YES,frederick39@example.com,200649244941,,,,GRADUATION,2025,SCIENCE,06448749,339665694,CBSE,500,487,FIRST,97.4,
760/14888,VARENYA LALLA,2819518358,M.Com. (Final),COMMERCE,22-02-2026,ZAYYAN DARA,CHAMELI UPPAL,ARTIST,08-12-2000,Female,ST,,"H.NO. 769, BHATNAGAR STREET, BHARATPUR-724928","43, KAKAR GANJ, BERHAMPUR 286843",KORBA,C.G.,NO,murthyupadhriti@example.org,188553852030,,,,GRADUATION,2022,COMMERCE,12062832,828582976,HEMCHAND YADAV UNIVERSITY,500,415,FIRST,83.0,
462/33297,AGASTYA DALAL,2298283141,B.Sc. Computer Science,COMPUTER,04-01-2026,SIDDHARTH BARAD,CHANDANI LOKE,ENGINEER,09-05-2008,Male,ST,,"62/98, BASAK CHOWK, BIHAR SHARIF 624690","02, BAINS ROAD, SAGAR 836799",BILASPUR,C.G.,NO,balvandora@example.net,537855294426,,,,12TH,2023,SCIENCE,67665438,282331795,HEMCHAND YADAV UNIVERSITY,500,432,FIRST,86.4,
149/29842,URISHILLA RAVAL,0942660012,M.Sc. (Zoology - Previous),ZOOLOGY,04-01-2026,IKBAL GUHA,XALAK COMAR,ARTIST,05-09-2006,Female,SC,,"824, CHOWDHURY CHOWK, IMPHAL-451013","29/52, SASTRY, MOTIHARI 959082",BALODA BAZAR,C.G.,YES,emital@example.org,525802251779,,,,GRADUATION,2020,SCIENCE,08023245,974944504,CBSE,500,487,FIRST,97.4,
726/44908,NEELIMA MINHAS,8600336694,BAJMC (Bachelor of Arts in Journalism & Mass Communication),COMMERCE,13-02-2026,ANSH CHANDA,HEMA PRABHU,SHOPKEEPER,20-11-2007,Female,SC,,"H.NO. 507, VALA CHOWK, LATUR 806613","H.NO. 48, KARI NAGAR, HAJIPUR 702838",RAIPUR,C.G.,NO,anay51@example.net,621871433568,,,,12TH,2024,ARTS,91149917,340725400,HEMCHAND YADAV UNIVERSITY,500,380,FIRST,76.0,
773/12418,WATIKA NAGAR,4943874428,PGDCA (Post Graduate Diploma in Computer Applications),COMPUTER,20-01-2026,SHIVANSH WALIA,UDYATI NARAYANAN,CARPENTER,02-05-2004,Female,SC,,"H.NO. 066, DHALIWAL GANJ, JAMALPUR-661798","443, KARPE CIRCLE, TIRUCHIRAPPALLI 989139",MAHASAMUND,C.G.,YES,ranganathaninaya@example.net,492281572224,,,,GRADUATION,2023,ARTS,61015910,798560069,STATE BOARD,500,203,THIRD,40.6,
717/19958,OWEN BHAKTA,3327615026,M.Sc. (Chemistry - Previous),CHEMISTRY,24-01-2026,WAHAB MUKHOPADHYAY,INDALI NADKARNI,RETIRED,28-03-2007,Male,OBC,,"48/26, PATHAK CHOWK, HARIDWAR 891403","H.NO. 33, SWAMINATHAN CHOWK, DHANBAD-441458",RAJNANDGAON,C.G.,NO,isastry@example.net,676698735914,,,,GRADUATION,2021,SCIENCE,68681829,870095038,CBSE,500,424,FIRST,84.8,
595/30203,WATIKA NAIK,5441422391,M.Sc. (Biotechnology - Previous),-,30-01-2026,ISAIAH MITTER,PANINI DEOL,SHOPKEEPER,10-12-2003,Female,OBC,,"H.NO. 02, SEN GANJ, VIJAYAWADA-541825","30/37, SULE CIRCLE, JALANDHAR-671479",BIJAPUR,C.G.,YES,lukeshetty@example.com,460677550976,,,,GRADUATION,2025,SCIENCE,03815915,976395203,CBSE,500,493,FIRST,98.6,
465/23096,EKAJA KHATRI,8286944019,B.Sc. (Mathematics),MATHEMATICS,01-03-2026,HARSHIL MITRA,KAVYA TAILOR,PLUMBER,13-04-2007,Female,ST,,"29, YOGI ZILA, ORAI-367547","82/80, BHARDWAJ, BHILWARA-265942",DHAMTARI,C.G.,NO,draj@example.com,009045975728,,,,12TH,2025,SCIENCE,45567972,825004568,HEMCHAND YADAV UNIVERSITY,500,219,THIRD,43.8,
640/58055,ANUSHA RATTA,2559193011,M.Sc. (Chemistry - Final),CHEMISTRY,19-02-2026,BALVAN HAYER,ANAMIKA TALWAR,ACCOUNTANT,05-09-2003,Female,SC,,"38/51, DEWAN ZILA, SONIPAT-553340","H.NO. 714, OZA STREET, NOIDA-112728",JANJGIR-CHAMPA,C.G.,YES,bhaviniramesh@example.org,948027427727,,,,GRADUATION,2020,SCIENCE,27640905,456554636,STATE BOARD,500,416,FIRST,83.2,
659/37783,NIRJA BANERJEE,2661390595,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,28-02-2026,JOSHUA DEEP,FORUM KUNDA,CLERK,02-09-2001,Female,GEN,,"49/02, VOHRA MARG, AVADI-902083","27/84, WALIA CIRCLE, SHIMOGA-568200",KORBA,C.G.,YES,ishita31@example.org,432066728479,,,,12TH,2022,ARTS,60058180,369475633,HEMCHAND YADAV UNIVERSITY,500,358,FIRST,71.6,
456/46506,HAMSINI ATWAL,7301913641,M.Sc. (Zoology - Final),ZOOLOGY,21-01-2026,KALPIT DARA,RADHA MORAR,SELF EMPLOYED,15-06-2006,Female,OBC,,"H.NO. 753, ROY CIRCLE, VELLORE-486898","872, SAXENA NAGAR, ADONI 803348",BALODA BAZAR,C.G.,YES,zachariahredhaan@example.net,600943868876,,,,GRADUATION,2024,SCIENCE,59375448,775660865,HEMCHAND YADAV UNIVERSITY,500,267,SECOND,53.4,
774/65056,GABRIEL DUBE,7870353424,M.A. (Previous),ARTS,28-01-2026,GIRISH BADAMI,INDALI GALA,CONSULTANT,11-10-2005,Male,GEN,,"H.NO. 888, KARPE, BAREILLY 336333","H.NO. 62, MANN GANJ, PUNE 379990",RAJNANDGAON,C.G.,YES,nakul12@example.org,901119432647,,,,GRADUATION,2022,ARTS,61862602,933866276,CBSE,500,318,FIRST,63.6,
689/68009,OSCAR YOGI,7782699584,BBA (Bachelor of Business Administration),MANAGEMENT,04-02-2026,ZASHIL PINGLE,DAMYANTI BHAVSAR,CONSULTANT,06-04-2006,Male,OBC,,"13, CHACKO, PALLAVARAM-166173","285, LOYAL ZILA, ADONI-187752",KONDAGAON,C.G.,NO,fradodivan@example.com,290429753223,,,,12TH,2025,ARTS,59920719,300642247,CBSE,500,255,SECOND,51.0,
933/18163,TRIYA SACHDEV,3144725990,M.Sc. (Botany - Final),BOTANY,10-03-2026,ABEER SHARMA,VANSHA MUNI,CLERK,30-10-2003,Female,GEN,,"30/20, DARA NAGAR, JORHAT 927378","79, KALA ROAD, SHIMOGA 414111",SURGUJA,C.G.,YES,ahayre@example.org,634496667923,,,,GRADUATION,2025,SCIENCE,67864514,522771722,HEMCHAND YADAV UNIVERSITY,500,381,FIRST,76.2,
630/64463,WIDISHA PILLAI,1057950288,M.Sc. (Physics - Previous),PHYSICS,10-02-2026,EKANSH COMAR,JEEVIKA CHAUDHRY,CONSULTANT,03-08-2002,Female,OBC,,"H.NO. 35, SUR STREET, KOTTAYAM-786013","95/91, BADAL, VIJAYAWADA 851806",DURG,C.G.,YES,vanya51@example.org,790733598935,,,,GRADUATION,2024,SCIENCE,96040214,959665413,CBSE,500,336,FIRST,67.2,
548/43162,THEODORE MALLICK,5402996915,M.Sc. (Physics - Previous),PHYSICS,19-02-2026,ARIN KAPADIA,VAMAKSHI KARA,MECHANIC,27-05-2008,Male,GEN,,"H.NO. 077, RAGHAVAN ZILA, PATNA 606048","99, BAKSHI STREET, MALEGAON 852433",DURG,C.G.,YES,farishegde@example.net,875674754529,,,,GRADUATION,2020,SCIENCE,22935849,663676038,CBSE,500,325,FIRST,65.0,
864/81777,JANUJA GARDE,0682011521,M.Sc. (Botany - Final),BOTANY,23-02-2026,YATIN IYENGAR,ANUSHA SARKAR,ARMY PERSONNEL,18-05-2003,Female,ST,,"266, NORI, PRODDATUR 661181","H.NO. 36, PRASHAD GANJ, GANGTOK 213170",RAIGARH,C.G.,NO,noahdhar@example.org,088476409863,,,,GRADUATION,2020,SCIENCE,77810114,577543863,HEMCHAND YADAV UNIVERSITY,500,400,FIRST,80.0,
602/81062,GAURI DEOL,7618914262,B.Sc. (Biology),BIOLOGY,01-01-2026,HITESH COMAR,NISHA MANGAT,DRIVER,09-01-2004,Female,SC,,"H.NO. 957, BATRA, PHUSRO 009364","91, CHAR PATH, GWALIOR-923257",JANJGIR-CHAMPA,C.G.,YES,brijeshbasak@example.net,381284347208,,,,12TH,2023,SCIENCE,95315027,456251954,HEMCHAND YADAV UNIVERSITY,500,295,SECOND,59.0,
812/73287,MAX LALLA,2415722638,B.Sc. Micro Biology,BIOLOGY,27-01-2026,SIMON NARAYAN,DAMYANTI NATARAJAN,TEACHER,28-08-2004,Male,GEN,,"135, CHANA STREET, KHANDWA 605001","04/170, DEEP GANJ, PANIPAT-069776",GARIABAND,C.G.,NO,amol33@example.com,717851975987,,,,12TH,2021,SCIENCE,61289796,506880185,HEMCHAND YADAV UNIVERSITY,500,409,FIRST,81.8,
452/22820,JANANI NARAYAN,7292743311,B.Lib (Bachelor of Library Science),LIBRARY SCIENCE,07-02-2026,MAANAV JOHAL,EKANTA MAND,ACCOUNTANT,28-07-2006,Female,ST,,"62, BARAD CHOWK, KATNI 499557","64/929, MUKHERJEE CIRCLE, NAGAON 283722",MAHASAMUND,C.G.,YES,omyadua@example.org,587066786721,,,,12TH,2023,ARTS,75134269,938708581,CBSE,500,492,FIRST,98.4,
155/64953,ISAAC CHAKRABORTY,8795106046,B.Sc. IT (Information Technology),COMPUTER,07-01-2026,AAYUSH PANCHAL,NIMRAT SANKARAN,DRIVER,02-04-2001,Male,GEN,,"65/270, SAMRA, KHORA -410513","32/30, KALA, KHAMMAM 529810",NARAYANPUR,C.G.,NO,latawakeeta@example.net,036944497914,,,,12TH,2021,SCIENCE,40149196,737559979,STATE BOARD,500,394,FIRST,78.8,
